FT-SS-01,FT-SS-02-a,FT-SS-02-b,FT-SS-02-c,FT-SS-02-d,FT-SS-02-e,FT-SS-03-a,FT-SS-03-b,FT-SS-03-c,FT-SS-04,FT-SS-05,FT-SS-06,FT-SS-07-a1,FT-SS-07-a2,FT-SS-07-b,FT-SS-07-c1,FT-SS-07-c2,FT-SS-07-d,FT-SS-07-e1,FT-SS-07-e2,FT-SS-07-f1,FT-SS-07-f2,FT-SS-07-f3,FT-SS-07-f4,FT-SS-07-g1,FT-SS-07-g2,FT-SS-07-g3,FT-SS-07-g4,FT-SS-07-g5,FT-SS-07-g6,FT-SS-07-g7,FT-SS-07-g8,FT-SS-07-h,FT-SS-08-a1,FT-SS-08-a2,FT-SS-08-a3,FT-SS-08-a4,FT-SS-08-b1,FT-SS-08-b2,FT-SS-08-b3,FT-SS-08-b4,FT-SS-08-c,FT-SS-09-a1,FT-SS-09-a2,FT-SS-09-a3,FT-SS-09-a4,FT-SS-09-a5,FT-SS-09-a6,FT-SS-09-a7,FT-SS-09-a8,FT-SS-09-b,FT-SS-09-c,FT-SS-10-a1,FT-SS-10-a2
Determine if the word 'DireWolf' is present in the file,"Find occurrences of ""WOLF"" while ignoring differences in case.",Locate all appearances of 'wolf' regardless of case.,Locate all appearances of 'Wolf' regardless of case.,Locate all appearances of 'DireWolf' regardless of case.,Locate all appearances of 'WereWolf' regardless of case.,"Identify occurrences of ""WOLF"" solely as a standalone term, excluding substrings.",Search and find only 'wolf' as a complete word.,Search and find only 'Wolf' as a complete word.,"Search for occurrences featuring both ""WereWolf"" and ""DireWolf.""",Search for 'Were' or 'Dire' in text.,Search files that contain 'fox' but lack 'tiger.',Search for the term 中国 in files.,Search for the term 東京 in files.,Search for the term 서울 in files.,Search for the term スバル in files.,Search for the term みつびし in files.,Search for the term Сибирь in files.,Search for the term garçon in files.,Search for the term Schönheit in files.,Search for the term Россия in files.,Search for the term فللاف in files.,Search for the term 中國 in files.,Search for the term 'QuarterHorse' in files.,Search for the term mañana in files.,Search for the term 'infinity' in files.,Search for the term Mäuse in files.,Identify files that reference 'infinity.',Search for the term Mäuse in files.,Search for the term libertà in files.,Search for the term liberta in files.,Search for the term mañana in files.,Search for the term سسكلكا in files.,Search for the term 'iron.man@marvel.com' in files.,Search for the term 'potus@capitol.gov' in files.,Search for the term 'berlin@deutchland.net' in files.,Search for the term 'kbg@moscow.red.square.ru' in files.,Search for the term '(901)555-1111' in files.,Search for the term '301.555-9009' in files.,Search for the term '800-555-1122' in files.,Search for the term '202.555.3270' in files.,Search for the term Social Security Numbers in files.,Can you get the HTML document named 'longbow'?,Search for a file named 'shotgun.',Search for the word 'shotgun' in files.,Search for a file named 'peroxide.',Search for a file named 'nitroglycerin.',Search for a file named 'rifle.',Search for a website named 'crossbow.',Search for a file named 'flintlock.',Search for cañón within MFT and Log files.,Search for 'thunderbird' within MFT and Log files.,Search for words starting with 'D' and having 8 characters.,Search for 8-letter words beginning with 'W' that have 'W' as the 5th letter.
Find all appearances of 'DireWolf' in the document,"Search for ""WOLF"" instances without considering case.",Identify every occurrence of 'wolf' ignoring the case.,Identify every occurrence of 'Wolf' ignoring the case.,Identify every occurrence of 'DireWolf' ignoring the case.,Identify every occurrence of 'WereWolf' ignoring the case.,"Locate instances of ""WOLF"" without including it as part of compound terms.",Find 'wolf' without including any parts of other words.,Find 'Wolf' without including any parts of other words.,"Identify instances where ""WereWolf"" and ""DireWolf"" occur together.",Find instances of the words 'Were' and 'Dire.',Locate files that show 'fox' but do not include 'tiger.',Locate instances of 中国 in text.,Locate instances of 東京 in text.,Locate instances of 서울 in text.,Locate instances of スバル in text.,Locate instances of みつびし in text.,Locate instances of Сибирь in text.,Locate instances of garçon in text.,Locate instances of Schönheit in text.,Locate instances of Россия in text.,Locate instances of فللاف in text.,Locate instances of 中國 in text.,Locate instances of 'QuarterHorse' in text.,Locate instances of mañana in text.,Locate instances of 'infinity' in text.,Locate instances of Mäuse in text.,Search for the term 'infinity' in files.,Locate instances of Mäuse in text.,Locate instances of libertà in text.,Locate instances of liberta in text.,Locate instances of mañana in text.,Locate instances of سسكلكا in text.,Locate instances of 'iron.man@marvel.com' in text.,Locate instances of 'potus@capitol.gov' in text.,Locate instances of 'berlin@deutchland.net' in text.,Locate instances of 'kbg@moscow.red.square.ru' in text.,Locate instances of '(901)555-1111' in text.,Locate instances of '301.555-9009' in text.,Locate instances of '800-555-1122' in text.,Locate instances of '202.555.3270' in text.,Locate instances of Social Security Numbers in text.,Please provide the HTML file titled 'longbow.',Locate the word file titled 'shotgun.',Locate documents with the term 'shotgun.',Locate the word file titled 'peroxide.',Locate the word file titled 'nitroglycerin.',Locate the word file titled 'rifle.',Locate the web page titled 'crossbow.',Locate the word file titled 'flintlock.',Locate the word cañón within MFT and Log files.,Locate the word 'thunderbird' within MFT and Log files.,Locate words with 8 characters that start with 'D'.,"Locate any word with 8 letters, starting with 'W', and 'W' as the 5th letter."
Check if the word 'DireWolf' appears in the file,"Locate occurrences of ""WOLF"" without distinguishing case.","Search and list all instances of 'wolf,' case insensitive.","Search and list all instances of 'Wolf,' case insensitive.","Search and list all instances of 'DireWolf,' case insensitive.","Search and list all instances of 'WereWolf,' case insensitive.","Find instances of ""WOLF"" without counting it as part of concatenated words.","Locate 'wolf' as a whole word, not within other words.","Locate 'Wolf' as a whole word, not within other words.","Find occurrences where both ""WereWolf"" and ""DireWolf"" are found.",Locate all occurrences of 'Were' and 'Dire.',Find files with 'fox' and avoiding 'tiger.',Find files showing the string 中国,Find files showing the string 東京,Find files showing the string 서울,Find files showing the string スバル,Find files showing the string みつびし,Find files showing the string Сибирь,Find files showing the string garçon,Find files showing the string Schönheit,Find files showing the string Россия,Find files showing the string فللاف,Find files showing the string 中國,Find files showing the string 'QuarterHorse.',Find files showing the string mañana,Find files showing the string 'infinity.',Find files showing the string Mäuse,Locate instances of 'infinity' in text.,Find files showing the string Mäuse,Find files showing the string libertà,Find files showing the string liberta,Find files showing the string mañana,Find files showing the string سسكلكا,Find files showing the string 'iron.man@marvel.com.',Find files showing the string 'potus@capitol.gov.',Find files showing the string 'berlin@deutchland.net.',Find files showing the string 'kbg@moscow.red.square.ru.',Find files showing the string '(901)555-1111.',Find files showing the string '301.555-9009.',Find files showing the string '800-555-1122.',Find files showing the string '202.555.3270.',Find files showing Social Security Numbers.,Find the HTML document referred to as 'longbow.',Find the word document titled 'shotgun.',Find files that mention the word 'shotgun.',Find the word document titled 'peroxide.',Find the word document titled 'nitroglycerin.',Find the word document titled 'rifle.',Find the web page titled 'crossbow.',Find the word document titled 'flintlock.',Find the term cañón within MFT and Log files.,Find the term 'thunderbird' within MFT and Log files.,Find words beginning with 'D' and having 8 letters.,"Find words beginning with 'W', 8 letters long, with 'W' as the 5th letter."
Search for occurrences of the term 'DireWolf' in the document,"Find all appearances of ""WOLF"" with case sensitivity ignored.",Detect all occurrences of 'wolf' without regard to case.,Detect all occurrences of 'Wolf' without regard to case.,Detect all occurrences of 'DireWolf' without regard to case.,Detect all occurrences of 'WereWolf' without regard to case.,"Search for the standalone occurrence of ""WOLF,"" disregarding substrings.",Identify occurrences of the standalone word 'wolf.',Identify occurrences of the standalone word 'Wolf.',"Search for occurrences containing both ""WereWolf"" and ""DireWolf.""",Identify all the words 'Were' or 'Dire.',Identify documents with the word 'fox' but not 'tiger.',Identify occurrences of 中国 in documents.,Identify occurrences of 東京 in documents.,Identify occurrences of 서울 in documents.,Identify occurrences of スバル in documents.,Identify occurrences of みつびし in documents.,Identify occurrences of Сибирь in documents.,Identify occurrences of garçon in documents.,Identify occurrences of Schönheit in documents.,Identify occurrences of Россия in documents.,Identify occurrences of فللاف in documents.,Identify occurrences of 中國 in documents.,Identify occurrences of 'QuarterHorse' in documents.,Identify occurrences of mañana in documents.,Identify occurrences of 'infinity' in documents.,Identify occurrences of Mäuse in documents.,Find files showing the string 'infinity.',Identify occurrences of Mäuse in documents.,Identify occurrences of libertà in documents.,Identify occurrences of liberta in documents.,Identify occurrences of mañana in documents.,Identify occurrences of سسكلكا in documents.,Identify occurrences of 'iron.man@marvel.com' in documents.,Identify occurrences of 'potus@capitol.gov' in documents.,Identify occurrences of 'berlin@deutchland.net' in documents.,Identify occurrences of 'kbg@moscow.red.square.ru' in documents.,Identify occurrences of '(901)555-1111' in documents.,Identify occurrences of '301.555-9009' in documents.,Identify occurrences of '800-555-1122' in documents.,Identify occurrences of '202.555.3270' in documents.,Identify occurrences of Social Security Numbers in documents.,Can you pull up the HTML file called 'longbow'?,Identify a document called 'shotgun.',Identify word documents that include 'shotgun.',Identify a document called 'peroxide.',Identify a document called 'nitroglycerin.',Identify a document called 'rifle.',Identify a site called 'crossbow.',Identify a document called 'flintlock.',Identify cañón within MFT and Log files.,Identify 'thunderbird' within MFT and Log files.,Identify words that start with 'D' and have 8 letters.,"Identify words starting with 'W', having 'W' as the 5th letter, and 8 letters long."
Locate instances of 'DireWolf' in the file,"Discover every instance of ""WOLF"" without differentiating case.",Locate each appearance of 'wolf' with no case consideration.,Locate each appearance of 'Wolf' with no case consideration.,Locate each appearance of 'DireWolf' with no case consideration.,Locate each appearance of 'WereWolf' with no case consideration.,"Discover occurrences of ""WOLF"" as an individual word, not part of substrings.","Search for the exact match 'wolf,' no substrings allowed.","Search for the exact match 'Wolf,' no substrings allowed.","Look for places where ""WereWolf"" and ""DireWolf"" are both referenced.",Search and find all instances of 'Were' and 'Dire.',Search for files having 'fox' and not mentioning 'tiger.',Search for files with 中国 mentioned.,Search for files with 東京 mentioned.,Search for files with 서울 mentioned.,Search for files with スバル mentioned.,Search for files with みつびし mentioned.,Search for files with Сибирь mentioned.,Search for files with garçon mentioned.,Search for files with Schönheit mentioned.,Search for files with Россия mentioned.,Search for files with فللاف mentioned.,Search for files with 中國 mentioned.,Search for files with 'QuarterHorse' mentioned.,Search for files with mañana mentioned.,Search for files with 'infinity' mentioned.,Search for files with Mäuse mentioned.,Identify occurrences of 'infinity' in documents.,Search for files with Mäuse mentioned.,Search for files with libertà mentioned.,Search for files with liberta mentioned.,Search for files with mañana mentioned.,Search for files with سسكلكا mentioned.,Search for files with 'iron.man@marvel.com' mentioned.,Search for files with 'potus@capitol.gov' mentioned.,Search for files with 'berlin@deutchland.net' mentioned.,Search for files with 'kbg@moscow.red.square.ru' mentioned.,Search for files with '(901)555-1111' mentioned.,Search for files with '301.555-9009' mentioned.,Search for files with '800-555-1122' mentioned.,Search for files with '202.555.3270' mentioned.,Search for files with Social Security Numbers mentioned.,Could you locate the HTML document named 'longbow'?,Search for the file named 'shotgun.',Search for 'shotgun' in text within word documents.,Search for the file named 'peroxide.',Search for the file named 'nitroglycerin.',Search for the file named 'rifle.',Search for the web page named 'crossbow.',Search for the file named 'flintlock.',Search for cañón in MFT entries and Log files.,Search for 'thunderbird' in MFT entries and Log files.,Search for any 8-letter word starting with 'D'.,Search for words with 8 letters starting with 'W' and having 'W' as the 5th letter.
Look for the word 'DireWolf' throughout the file,"Search for ""WOLF"" occurrences without regard for case.",Find all mentions of 'wolf' without case sensitivity.,Find all mentions of 'Wolf' without case sensitivity.,Find all mentions of 'DireWolf' without case sensitivity.,Find all mentions of 'WereWolf' without case sensitivity.,"Identify instances of ""WOLF"" solely as a distinct word, not within substrings.",Find only 'wolf' as a distinct word.,Find only 'Wolf' as a distinct word.,"Discover occurrences where both ""WereWolf"" and ""DireWolf"" are used.",Locate and find 'Were' or 'Dire.',Locate files with 'fox' and excluding the string 'tiger.',Locate documents mentioning 中国,Locate documents mentioning 東京,Locate documents mentioning 서울,Locate documents mentioning スバル,Locate documents mentioning みつびし,Locate documents mentioning Сибирь,Locate documents mentioning garçon,Locate documents mentioning Schönheit,Locate documents mentioning Россия,Locate documents mentioning فللاف,Locate documents mentioning 中國,Locate documents mentioning 'QuarterHorse.',Locate documents mentioning mañana,Locate documents mentioning 'infinity.',Locate documents mentioning Mäuse,Search for files with 'infinity' mentioned.,Locate documents mentioning Mäuse,Locate documents mentioning libertà,Locate documents mentioning liberta,Locate documents mentioning mañana,Locate documents mentioning سسكلكا,Locate documents mentioning 'iron.man@marvel.com.',Locate documents mentioning 'potus@capitol.gov.',Locate documents mentioning 'berlin@deutchland.net.',Locate documents mentioning 'kbg@moscow.red.square.ru.',Locate documents mentioning '(901)555-1111.',Locate documents mentioning '301.555-9009.',Locate documents mentioning '800-555-1122.',Locate documents mentioning '202.555.3270.',Locate documents mentioning Social Security Numbers.,Retrieve the HTML file known as 'longbow.',Locate a file titled 'shotgun.',Locate files that have the word 'shotgun.',Locate a file titled 'peroxide.',Locate a file titled 'nitroglycerin.',Locate a file titled 'rifle.',Locate a site titled 'crossbow.',Locate a file titled 'flintlock.',Locate cañón in MFT entries and Log files.,Locate 'thunderbird' in MFT entries and Log files.,Locate any word starting with 'D' and 8 characters long.,"Locate words with 8 letters, starting with 'W', and 'W' as the 5th letter."
Identify any appearances of 'DireWolf' in the document,"Identify occurrences of ""WOLF"" without sensitivity to case.","Identify each occurrence of 'wolf,' regardless of case.","Identify each occurrence of 'Wolf,' regardless of case.","Identify each occurrence of 'DireWolf,' regardless of case.","Identify each occurrence of 'WereWolf,' regardless of case.","Locate occurrences of ""WOLF"" distinctly as a standalone term, not within substrings.",Locate 'wolf' without matching parts of other words.,Locate 'Wolf' without matching parts of other words.,"Find instances containing both ""WereWolf"" and ""DireWolf.""",Find the exact words 'Were' and 'Dire.',Find files where 'fox' exists but not 'tiger.',Find files listing 中国,Find files listing 東京,Find files listing 서울,Find files listing スバル,Find files listing みつびし,Find files listing Сибирь,Find files listing garçon,Find files listing Schönheit,Find files listing Россия,Find files listing فللاف,Find files listing 中國,Find files listing 'QuarterHorse.',Find files listing mañana,Find files listing 'infinity.',Find files listing Mäuse,Locate documents mentioning 'infinity.',Find files listing Mäuse,Find files listing libertà,Find files listing liberta,Find files listing mañana,Find files listing سسكلكا,Find files listing 'iron.man@marvel.com.',Find files listing 'potus@capitol.gov.',Find files listing 'berlin@deutchland.net.',Find files listing 'kbg@moscow.red.square.ru.',Find files listing '(901)555-1111.',Find files listing '301.555-9009.',Find files listing '800-555-1122.',Find files listing '202.555.3270.',Find files listing Social Security Numbers.,Please access the HTML document called 'longbow.',Find a word document named 'shotgun.',Find documents containing the word 'shotgun.',Find a word document named 'peroxide.',Find a word document named 'nitroglycerin.',Find a word document named 'rifle.',Find a web page named 'crossbow.',Find a word document named 'flintlock.',Find cañón in MFT entries and Log files.,Find 'thunderbird' in MFT entries and Log files.,Find words with 8 characters that begin with 'D'.,"Find any word that starts with 'W', is 8 letters long, and has 'W' as the 5th letter."
Determine if 'DireWolf' is present in the file,"Locate instances of ""WOLF"" regardless of capitalization.",Search for 'wolf' in all cases.,Search for 'Wolf' in all cases.,Search for 'DireWolf' in all cases.,Search for 'WereWolf' in all cases.,"Find only the standalone word ""WOLF,"" excluding it from substrings.","Identify the word 'wolf,' excluding substrings.","Identify the word 'Wolf,' excluding substrings.","Search for occurrences where both ""WereWolf"" and ""DireWolf"" are mentioned.",Identify all occurrences of 'Were' or 'Dire.',Identify files containing 'fox' and omitting 'tiger.',Identify files that have the string 中国,Identify files that have the string 東京,Identify files that have the string 서울,Identify files that have the string スバル,Identify files that have the string みつびし,Identify files that have the string Сибирь,Identify files that have the string garçon,Identify files that have the string Schönheit,Identify files that have the string Россия,Identify files that have the string فللاف,Identify files that have the string 中國,Identify files that have the string 'QuarterHorse.',Identify files that have the string mañana,Identify files that have the string 'infinity.',Identify files that have the string Mäuse,Find files listing 'infinity.',Identify files that have the string Mäuse,Identify files that have the string libertà,Identify files that have the string liberta,Identify files that have the string mañana,Identify files that have the string سسكلكا,Identify files that have the string 'iron.man@marvel.com.',Identify files that have the string 'potus@capitol.gov.',Identify files that have the string 'berlin@deutchland.net.',Identify files that have the string 'kbg@moscow.red.square.ru.',Identify files that have the string '(901)555-1111.',Identify files that have the string '301.555-9009.',Identify files that have the string '800-555-1122.',Identify files that have the string '202.555.3270.',Identify files that have Social Security Numbers.,Can you bring up the HTML file named 'longbow'?,Identify a file called 'shotgun.',Identify documents with 'shotgun' in the text.,Identify a file called 'peroxide.',Identify a file called 'nitroglycerin.',Identify a file called 'rifle.',Identify a website called 'crossbow.',Identify a file called 'flintlock.',Identify cañón in MFT entries and Log files.,Identify 'thunderbird' in MFT entries and Log files.,Identify any word beginning with 'D' and having 8 letters.,Identify 8-letter words that start with 'W' and have 'W' as the 5th letter.
Find all instances of 'DireWolf' within the document,"Find all instances of ""WOLF"" without sensitivity to case.","Locate all instances of 'wolf,' case insensitive.","Locate all instances of 'Wolf,' case insensitive.","Locate all instances of 'DireWolf,' case insensitive.","Locate all instances of 'WereWolf,' case insensitive.","Search for ""WOLF"" occurrences specifically as a standalone word, not part of substrings.",Search for 'wolf' as an entire standalone word.,Search for 'Wolf' as an entire standalone word.,"Locate instances where both ""WereWolf"" and ""DireWolf"" are present.",Search for all instances of 'Were' or 'Dire.',Search files that mention 'fox' but lack 'tiger.',Search for documents containing 中国,Search for documents containing 東京,Search for documents containing 서울,Search for documents containing スバル,Search for documents containing みつびし,Search for documents containing Сибирь,Search for documents containing garçon,Search for documents containing Schönheit,Search for documents containing Россия,Search for documents containing فللاف,Search for documents containing 中國,Search for documents containing 'QuarterHorse.',Search for documents containing mañana,Search for documents containing 'infinity.',Search for documents containing Mäuse,Identify files that have the string 'infinity.',Search for documents containing Mäuse,Search for documents containing libertà,Search for documents containing liberta,Search for documents containing mañana,Search for documents containing سسكلكا,Search for documents containing 'iron.man@marvel.com.',Search for documents containing 'potus@capitol.gov.',Search for documents containing 'berlin@deutchland.net.',Search for documents containing 'kbg@moscow.red.square.ru.',Search for documents containing '(901)555-1111.',Search for documents containing '301.555-9009.',Search for documents containing '800-555-1122.',Search for documents containing '202.555.3270.',Search for documents containing Social Security Numbers.,Could you find the HTML document with the name 'longbow'?,Search for a word file titled 'shotgun.',Search for the term 'shotgun' in word documents.,Search for a word file titled 'peroxide.',Search for a word file titled 'nitroglycerin.',Search for a word file titled 'rifle.',Search for a site titled 'crossbow.',Search for a word file titled 'flintlock.',Search for MFT and Log files with cañón.,Search for MFT and Log files with 'thunderbird'.,Search for words with 8 letters starting with 'D'.,"Search for words having 8 letters, starting with 'W', with 'W' as the 5th letter."
Check if 'DireWolf' appears in the file,"Search for ""WOLF"" appearances without considering case.","Find every mention of 'wolf,' ignoring the case.","Find every mention of 'Wolf,' ignoring the case.","Find every mention of 'DireWolf,' ignoring the case.","Find every mention of 'WereWolf,' ignoring the case.","Discover instances of ""WOLF"" uniquely as a word separate from substrings.","Find exact instances of 'wolf' only, no substrings.","Find exact instances of 'Wolf' only, no substrings.","Discover places where ""WereWolf"" and ""DireWolf"" are mentioned together.",Locate occurrences of the words 'Were' or 'Dire.',Locate files having the string 'fox' but not 'tiger.',Locate files with the mention of 中国,Locate files with the mention of 東京,Locate files with the mention of 서울,Locate files with the mention of スバル,Locate files with the mention of みつびし,Locate files with the mention of Сибирь,Locate files with the mention of garçon,Locate files with the mention of Schönheit,Locate files with the mention of Россия,Locate files with the mention of فللاف,Locate files with the mention of 中國,Locate files with the mention of 'QuarterHorse.',Locate files with the mention of mañana,Locate files with the mention of 'infinity.',Locate files with the mention of Mäuse,Search for documents containing 'infinity.',Locate files with the mention of Mäuse,Locate files with the mention of libertà,Locate files with the mention of liberta,Locate files with the mention of mañana,Locate files with the mention of سسكلكا,Locate files with the mention of 'iron.man@marvel.com.',Locate files with the mention of 'potus@capitol.gov.',Locate files with the mention of 'berlin@deutchland.net.',Locate files with the mention of 'kbg@moscow.red.square.ru.',Locate files with the mention of '(901)555-1111.',Locate files with the mention of '301.555-9009.',Locate files with the mention of '800-555-1122.',Locate files with the mention of '202.555.3270.',Locate files with the mention of Social Security Numbers.,Get the HTML file titled 'longbow.',Locate a document called 'shotgun.',Locate the term 'shotgun' inside files.,Locate a document called 'peroxide.',Locate a document called 'nitroglycerin.',Locate a document called 'rifle.',Locate a web page called 'crossbow.',Locate a document called 'flintlock.',Locate MFT and Log files containing cañón.,Locate MFT and Log files containing 'thunderbird'.,Locate words having 8 letters and starting with 'D'.,Locate words starting with 'W' and having 'W' as the 5th letter in 8-letter words.
Search for instances of the term 'DireWolf' in the document,"Locate occurrences of ""WOLF"" without regard to letter case.","Detect all appearances of 'wolf,' without case sensitivity.","Detect all appearances of 'Wolf,' without case sensitivity.","Detect all appearances of 'DireWolf,' without case sensitivity.","Detect all appearances of 'WereWolf,' without case sensitivity.","Identify occurrences of ""WOLF"" solely as a separate word, excluding substrings.","Locate the complete word 'wolf,' ignoring parts of other words.","Locate the complete word 'Wolf,' ignoring parts of other words.","Look for occurrences of both ""WereWolf"" and ""DireWolf"" in the text.",Find instances of the exact words 'Were' and 'Dire.',Find files featuring 'fox' without 'tiger.',Find occurrences of the string 中国 in text.,Find occurrences of the string 東京 in text.,Find occurrences of the string 서울 in text.,Find occurrences of the string スバル in text.,Find occurrences of the string みつびし in text.,Find occurrences of the string Сибирь in text.,Find occurrences of the string garçon in text.,Find occurrences of the string Schönheit in text.,Find occurrences of the string Россия in text.,Find occurrences of the string فللاف in text.,Find occurrences of the string 中國 in text.,Find occurrences of the string 'QuarterHorse' in text.,Find occurrences of the string mañana in text.,Find occurrences of the string 'infinity' in text.,Find occurrences of the string Mäuse in text.,Locate files with the mention of 'infinity.',Find occurrences of the string Mäuse in text.,Find occurrences of the string libertà in text.,Find occurrences of the string liberta in text.,Find occurrences of the string mañana in text.,Find occurrences of the string سسكلكا in text.,Find occurrences of the string 'iron.man@marvel.com' in text.,Find occurrences of the string 'potus@capitol.gov' in text.,Find occurrences of the string 'berlin@deutchland.net' in text.,Find occurrences of the string 'kbg@moscow.red.square.ru' in text.,Find occurrences of the string '(901)555-1111' in text.,Find occurrences of the string '301.555-9009' in text.,Find occurrences of the string '800-555-1122' in text.,Find occurrences of the string '202.555.3270' in text.,Find occurrences of Social Security Numbers in text.,Please locate the HTML document referred to as 'longbow.',Find the document named 'shotgun.',Find word documents with the term 'shotgun.',Find the document named 'peroxide.',Find the document named 'nitroglycerin.',Find the document named 'rifle.',Find the web page named 'crossbow.',Find the document named 'flintlock.',Find MFT and Log files with cañón.,Find MFT and Log files with 'thunderbird'.,Find words that start with 'D' and are 8 characters long.,"Find words that start with 'W', are 8 letters long, and have 'W' as the 5th letter."
Locate occurrences of 'DireWolf' in the file,"Find every instance of ""WOLF"" while disregarding case sensitivity.","Identify all instances of 'wolf,' irrespective of case.","Identify all instances of 'Wolf,' irrespective of case.","Identify all instances of 'DireWolf,' irrespective of case.","Identify all instances of 'WereWolf,' irrespective of case.","Locate the word ""WOLF"" independently without it being part of substrings.","Identify 'wolf' as a single, whole word.","Identify 'Wolf' as a single, whole word.","Identify instances where both ""WereWolf"" and ""DireWolf"" appear.",Identify the occurrences of 'Were' or 'Dire.',Identify documents with 'fox' and excluding the term 'tiger.',Identify files mentioning 中国,Identify files mentioning 東京,Identify files mentioning 서울,Identify files mentioning スバル,Identify files mentioning みつびし,Identify files mentioning Сибирь,Identify files mentioning garçon,Identify files mentioning Schönheit,Identify files mentioning Россия,Identify files mentioning فللاف,Identify files mentioning 中國,Identify files mentioning 'QuarterHorse.',Identify files mentioning mañana,Identify files mentioning 'infinity.',Identify files mentioning Mäuse,Find occurrences of the string 'infinity' in text.,Identify files mentioning Mäuse,Identify files mentioning libertà,Identify files mentioning liberta,Identify files mentioning mañana,Identify files mentioning سسكلكا,Identify files mentioning 'iron.man@marvel.com.',Identify files mentioning 'potus@capitol.gov.',Identify files mentioning 'berlin@deutchland.net.',Identify files mentioning 'kbg@moscow.red.square.ru.',Identify files mentioning '(901)555-1111.',Identify files mentioning '301.555-9009.',Identify files mentioning '800-555-1122.',Identify files mentioning '202.555.3270.',Identify files mentioning Social Security Numbers.,Find the HTML file called 'longbow' for me.,Identify the word document titled 'shotgun.',Identify instances of 'shotgun' in the text.,Identify the word document titled 'peroxide.',Identify the word document titled 'nitroglycerin.',Identify the word document titled 'rifle.',Identify the web page titled 'crossbow.',Identify the word document titled 'flintlock.',Identify MFT and Log files that have cañón.,Identify MFT and Log files that have 'thunderbird'.,Identify words with 8 characters that begin with 'D'.,"Identify words beginning with 'W', having 'W' as the 5th letter, and 8 letters long."
Look for the term 'DireWolf' throughout the file,"Discover occurrences of ""WOLF"" without distinguishing between uppercase and lowercase.","Search every occurrence of 'wolf,' with no regard to case.","Search every occurrence of 'Wolf,' with no regard to case.","Search every occurrence of 'DireWolf,' with no regard to case.","Search every occurrence of 'WereWolf,' with no regard to case.","Find instances of ""WOLF"" without considering it within compound words or substrings.",Search exclusively for the exact word 'wolf.',Search exclusively for the exact word 'Wolf.',"Search for occurrences featuring both ""WereWolf"" and ""DireWolf.""",Search and locate the words 'Were' or 'Dire.',Search for files with 'fox' while excluding 'tiger.',Search for the string 中国 in documents.,Search for the string 東京 in documents.,Search for the string 서울 in documents.,Search for the string スバル in documents.,Search for the string みつびし in documents.,Search for the string Сибирь in documents.,Search for the string garçon in documents.,Search for the string Schönheit in documents.,Search for the string Россия in documents.,Search for the string فللاف in documents.,Search for the string 中國 in documents.,Search for the string 'QuarterHorse' in documents.,Search for the string mañana in documents.,Search for the string 'infinity' in documents.,Search for the string Mäuse in documents.,Identify files mentioning 'infinity.',Search for the string Mäuse in documents.,Search for the string libertà in documents.,Search for the string liberta in documents.,Search for the string mañana in documents.,Search for the string سسكلكا in documents.,Search for the string 'iron.man@marvel.com' in documents.,Search for the string 'potus@capitol.gov' in documents.,Search for the string 'berlin@deutchland.net' in documents.,Search for the string 'kbg@moscow.red.square.ru' in documents.,Search for the string '(901)555-1111' in documents.,Search for the string '301.555-9009' in documents.,Search for the string '800-555-1122' in documents.,Search for the string '202.555.3270' in documents.,Search for Social Security Numbers in documents.,Can you retrieve the HTML document named 'longbow'?,Search for a word document called 'shotgun.',Search for word files containing 'shotgun.',Search for a word document called 'peroxide.',Search for a word document called 'nitroglycerin.',Search for a word document called 'rifle.',Search for a web page called 'crossbow.',Search for a word document called 'flintlock.',Search MFT files for the word cañón.,Search MFT files for the word 'thunderbird'.,Search for words having 8 characters and starting with 'D'.,Search for 8-letter words that start with 'W' and have 'W' as the 5th letter.
